Social	Subject	blocks-to-Action	blocks-to-LTM	blocks-to-Perception	blocks-to-Procedural	blocks-to-WM	social-to-Action	social-to-LTM	social-to-Perception	social-to-Procedural	social-to-WM
Social	173435	0.000000	0.000000	0.529555	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012076
Social	173536	0.000000	0.000000	0.511036	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.067623
Social	173940	0.000000	0.000000	0.160486	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.061476
Social	175035	0.000000	0.000000	0.273181	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.035485
Social	175439	0.000000	0.000000	0.376612	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.076858
Social	176542	0.000000	0.000000	0.514968	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.027480
Social	177645	0.000000	0.000000	0.135839	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.080888
Social	177746	0.000000	0.000000	0.163821	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.028286
Social	178142	0.000000	0.000000	-0.677540	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.118148
Social	178748	0.000000	0.000000	0.108577	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.003085
Social	178849	0.000000	0.000000	0.568085	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.018887
Social	178950	0.000000	0.000000	0.149092	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.005005
Social	992774	0.000000	0.000000	0.148959	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007347
Social	994273	0.000000	0.000000	0.005509	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.005313
