Subject	Action-to-Action	Action-to-LTM	Action-to-Perception	Action-to-Procedural	Action-to-WM	LTM-to-Action	LTM-to-LTM	LTM-to-Perception	LTM-to-Procedural	LTM-to-WM	Perception-to-Action	Perception-to-LTM	Perception-to-Perception	Perception-to-Procedural	Perception-to-WM	Procedural-to-Action	Procedural-to-LTM	Procedural-to-Perception	Procedural-to-Procedural	Procedural-to-WM	WM-to-Action	WM-to-LTM	WM-to-Perception	WM-to-Procedural	WM-to-WM	
135932	-0.578232	0.000000	-0.213649	0.000000	0.000000	0.000000	-0.042883	0.000000	0.000000	-0.134468	0.231472	0.000000	0.314945	0.000000	-0.909386	0.000000	0.000000	0.000000	0.431006	0.549739	0.082788	-0.077681	0.196656	0.280792	-0.615348	
136227	-0.064186	0.000000	0.176347	0.000000	0.000000	0.000000	-0.175239	0.000000	0.000000	-0.226216	-0.333633	0.000000	0.077453	0.000000	-0.462693	0.000000	0.000000	0.000000	0.172676	0.308032	-0.218598	-0.279624	0.524308	0.345825	-0.285930	
136833	-0.307539	0.000000	-0.354352	0.000000	0.000000	0.000000	-0.048444	0.000000	0.000000	-0.115072	0.348795	0.000000	0.069878	0.000000	-0.659870	0.000000	0.000000	0.000000	0.060405	0.159030	0.208740	-0.106343	0.036134	0.128203	-0.372161	
137027	-0.600794	0.000000	-0.263854	0.000000	0.000000	0.000000	-0.257863	0.000000	0.000000	0.048096	0.329801	0.000000	-0.061813	0.000000	-0.343431	0.000000	0.000000	0.000000	0.004956	-0.015988	0.621097	-0.199092	0.298350	0.118438	0.002157	
137128	-0.626239	0.000000	-0.432626	0.000000	0.000000	0.000000	-0.012800	0.000000	0.000000	-0.042598	0.156719	0.000000	-0.024260	0.000000	-0.735332	0.000000	0.000000	0.000000	0.198536	0.517379	0.052567	-0.036907	0.277955	0.380590	-0.453640	
137633	-0.246498	0.000000	-0.164903	0.000000	0.000000	0.000000	-0.368720	0.000000	0.000000	-0.115652	0.215551	0.000000	0.088750	0.000000	-0.634091	0.000000	0.000000	0.000000	0.176453	0.407619	0.025689	-0.237956	0.286358	0.450748	-0.338979	
137936	-0.049862	0.000000	-0.217579	0.000000	0.000000	0.000000	-0.068950	0.000000	0.000000	0.036530	-0.074539	0.000000	-0.044463	0.000000	0.155393	0.000000	0.000000	0.000000	-0.017469	-0.008048	0.298011	-0.216849	-0.314780	0.122213	0.015224	
138231	0.262737	0.000000	-0.697299	0.000000	0.000000	0.000000	-0.019326	0.000000	0.000000	-0.066498	-0.508737	0.000000	-0.454965	0.000000	0.910507	0.000000	0.000000	0.000000	0.072620	-0.238604	0.410682	0.026105	0.014782	0.124059	-0.089062	
138534	-0.299887	0.000000	-0.556017	0.000000	0.000000	0.000000	-0.307364	0.000000	0.000000	0.081084	0.376744	0.000000	0.168159	0.000000	-0.463263	0.000000	0.000000	0.000000	-0.109335	-0.105774	0.655012	-0.178531	0.168775	0.220530	0.060606	
139233	-0.280159	0.000000	-0.108652	0.000000	0.000000	0.000000	-0.012584	0.000000	0.000000	0.003921	0.254748	0.000000	0.153996	0.000000	-0.881091	0.000000	0.000000	0.000000	0.265087	0.229265	0.171002	-0.015959	0.160070	0.594369	-0.325429	
