Subject	Action-to-Action	Action-to-LTM	Action-to-Perception	Action-to-Procedural	Action-to-WM	LTM-to-Action	LTM-to-LTM	LTM-to-Perception	LTM-to-Procedural	LTM-to-WM	Perception-to-Action	Perception-to-LTM	Perception-to-Perception	Perception-to-Procedural	Perception-to-WM	Procedural-to-Action	Procedural-to-LTM	Procedural-to-Perception	Procedural-to-Procedural	Procedural-to-WM	WM-to-Action	WM-to-LTM	WM-to-Perception	WM-to-Procedural	WM-to-WM	
120515	-0.043510	0.000000	-0.268985	0.000000	0.000000	0.000000	-0.000301	0.000000	0.000000	-0.018237	0.174610	0.000000	-0.190368	0.000000	-0.220584	0.000000	0.000000	0.000000	-0.004455	-0.042974	-0.245343	-0.041984	0.551978	-0.086569	-0.123370	
121618	-0.328582	0.000000	-0.634224	0.000000	0.000000	0.000000	-0.023742	0.000000	0.000000	-0.085455	0.454572	0.000000	-0.091216	0.000000	-0.610668	0.000000	0.000000	0.000000	-0.019114	-0.135548	-0.008343	-0.080658	-0.055861	-0.122672	-0.283405	
122317	0.013254	0.000000	-0.056512	0.000000	0.000000	0.000000	-0.082449	0.000000	0.000000	0.167828	-0.083586	0.000000	-0.297438	0.000000	-0.335101	0.000000	0.000000	0.000000	-0.011187	-0.018412	-0.031011	-0.289038	0.758469	0.051774	0.038421	
122620	-0.043332	0.000000	0.124078	0.000000	0.000000	0.000000	-0.028755	0.000000	0.000000	0.006456	0.142060	0.000000	-0.441736	0.000000	0.016930	0.000000	0.000000	0.000000	0.021555	0.007019	-0.185968	0.050243	0.653552	0.219020	-0.032432	
123117	-0.007390	0.000000	-0.024508	0.000000	0.000000	0.000000	-0.054105	0.000000	0.000000	0.239293	0.056765	0.000000	-0.032250	0.000000	0.176858	0.000000	0.000000	0.000000	-0.116103	0.297813	-0.055645	-0.309915	0.469880	-0.356471	0.031981	
123420	-0.104347	0.000000	-0.306402	0.000000	0.000000	0.000000	-0.211515	0.000000	0.000000	0.268255	0.655795	0.000000	0.094894	0.000000	0.205747	0.000000	0.000000	0.000000	-0.031253	0.174951	-0.091360	0.394068	-0.275981	0.283753	-0.131540	
123925	-0.018969	0.000000	-0.108740	0.000000	0.000000	0.000000	-0.008883	0.000000	0.000000	-0.029790	0.044540	0.000000	-0.063365	0.000000	0.085825	0.000000	0.000000	0.000000	-0.015506	-0.029453	0.160258	0.143682	-0.229773	0.144446	0.034799	
124220	0.000011	0.000000	0.007814	0.000000	0.000000	0.000000	-0.000001	0.000000	0.000000	0.007814	0.008338	0.000000	0.000330	0.000000	0.003111	0.000000	0.000000	0.000000	-0.000005	0.007814	0.006727	0.008017	0.010357	0.008604	-0.000026	
124422	-0.032977	0.000000	0.019130	0.000000	0.000000	0.000000	-0.002786	0.000000	0.000000	0.030155	0.091807	0.000000	0.016393	0.000000	-0.269553	0.000000	0.000000	0.000000	-0.014810	-0.038997	-0.183096	0.073163	-0.144793	-0.163181	-0.063326	
124826	-0.080188	0.000000	0.327330	0.000000	0.000000	0.000000	-0.003047	0.000000	0.000000	0.016503	0.026393	0.000000	-0.291129	0.000000	-0.433514	0.000000	0.000000	0.000000	-0.038302	0.057830	0.271379	0.033549	0.614896	0.198753	-0.115995	
125525	-0.023551	0.000000	-0.050893	0.000000	0.000000	0.000000	0.003840	0.000000	0.000000	0.005806	0.090589	0.000000	-0.213101	0.000000	0.148620	0.000000	0.000000	0.000000	-0.009243	0.022195	-0.147127	-0.014636	0.571473	0.098900	-0.006567	
126325	0.032748	0.000000	-0.329361	0.000000	0.000000	0.000000	-0.066493	0.000000	0.000000	0.132868	-0.159867	0.000000	-0.384607	0.000000	0.328360	0.000000	0.000000	0.000000	-0.036483	0.120612	0.131055	-0.198971	-0.680600	-0.198741	0.021154	
126628	-0.014548	0.000000	-0.021856	0.000000	0.000000	0.000000	-0.070767	0.000000	0.000000	-0.013219	0.030831	0.000000	-0.248746	0.000000	0.281845	0.000000	0.000000	0.000000	-0.046515	-0.007495	-0.080171	0.343956	0.447761	0.338678	-0.052127	
127630	0.000035	0.000000	0.007357	0.000000	0.000000	0.000000	0.000173	0.000000	0.000000	0.007802	0.005076	0.000000	0.000574	0.000000	0.007124	0.000000	0.000000	0.000000	-0.000067	0.007802	0.008322	-0.010806	-0.022750	0.016414	-0.000477	
127933	-0.037156	0.000000	0.056506	0.000000	0.000000	0.000000	-0.012651	0.000000	0.000000	0.053623	0.195148	0.000000	-0.039598	0.000000	-0.199166	0.000000	0.000000	0.000000	-0.252726	0.231896	0.001580	0.138334	0.259536	0.574921	-0.080879	
